"date","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2020-11-25T01:00:00.000Z",1,188.59,0,2.49,72.96,1.22,3,4.84,0.01
"2020-11-25T02:00:00.000Z",1,193.6,0,2.79,72.96,1.4,3.56,5.75,0.01
"2020-11-25T03:00:00.000Z",1,193.6,0,2.55,76.53,1.34,3.2,5.03,0.01
"2020-11-25T04:00:00.000Z",2,190.26,0,2.21,80.11,1.27,2.94,4.28,0.01
"2020-11-25T05:00:00.000Z",1,195.27,0,2.16,77.25,1.3,3.82,5.7,0.01
"2020-11-25T06:00:00.000Z",1,216.96,0,2.55,74.39,1.36,4.99,8.53,0.03
"2020-11-25T07:00:00.000Z",1,233.65,0,3.56,67.23,1.54,6.16,13.81,0.08
"2020-11-25T08:00:00.000Z",1,226.97,0,4.5,60.8,1.74,6.11,17.28,0.14
"2020-11-25T09:00:00.000Z",1,220.3,0.01,5.14,59.37,1.8,5.51,19.51,0.17
"2020-11-25T10:00:00.000Z",2,216.96,0.05,5.66,60.08,1.79,5.28,20.92,0.16
"2020-11-25T11:00:00.000Z",2,216.96,0.05,5.74,60.8,1.79,5.36,20.16,0.14
"2020-11-25T12:00:00.000Z",1,216.96,0.02,5.36,64.37,1.74,5.56,18.18,0.11
"2020-11-25T13:00:00.000Z",1,220.3,0.01,4.11,70.1,1.59,5.59,16.11,0.09
"2020-11-25T14:00:00.000Z",1,223.64,0.01,3.34,70.81,1.49,5.67,14.05,0.07
"2020-11-25T15:00:00.000Z",1,226.97,0,3.56,67.95,1.55,5.63,12.88,0.05
"2020-11-25T16:00:00.000Z",1,226.97,0,3.98,65.09,1.7,5.25,11.85,0.04
"2020-11-25T17:00:00.000Z",1,223.64,0,4.41,61.51,1.91,4.92,10.52,0.04
"2020-11-25T18:00:00.000Z",1,216.96,0,4.93,56.51,2.09,4.65,9.29,0.04
"2020-11-25T19:00:00.000Z",1,211.95,0,5.74,51.5,2.33,4.47,8.15,0.06
"2020-11-25T20:00:00.000Z",1,211.95,0,6.51,46.49,2.56,3.98,6.54,0.14
"2020-11-25T21:00:00.000Z",1,210.29,0,7.11,41.13,2.83,3.4,5.04,0.32
"2020-11-25T22:00:00.000Z",1,208.62,0,7.97,36.84,3.16,2.81,3.77,0.58
"2020-11-25T23:00:00.000Z",1,206.95,0,8.91,35.76,3.37,2.2,2.79,0.73
"2020-11-26T00:00:00.000Z",1,206.95,0,10.11,35.05,3.82,1.82,2.26,0.78
"2020-11-26T01:00:00.000Z",1,206.95,0,12.85,31.83,4.71,1.74,2.18,0.83
"2020-11-26T02:00:00.000Z",1,206.95,0.01,16.79,25.39,5.6,1.85,2.32,0.86
"2020-11-26T03:00:00.000Z",1,208.62,0.01,19.88,20.74,5.84,1.9,2.39,0.87
"2020-11-26T04:00:00.000Z",1,210.29,0.02,21.59,17.7,5.72,1.88,2.38,0.87
"2020-11-26T05:00:00.000Z",1,213.62,0.02,22.28,16.63,5.6,1.81,2.33,0.9
"2020-11-26T06:00:00.000Z",1,220.3,0.04,22.96,16.27,5.6,1.83,2.46,1
"2020-11-26T07:00:00.000Z",1,230.31,0.07,23.99,15.74,5.31,1.96,2.78,1.17
"2020-11-26T08:00:00.000Z",1,233.65,0.06,25.02,16.27,5.13,2.03,3.06,1.12
"2020-11-26T09:00:00.000Z",1,233.65,0.39,24.68,18.95,5.19,1.94,3.27,0.94
"2020-11-26T10:00:00.000Z",1,230.31,1.68,21.76,25.03,5.36,1.73,3.31,0.76
"2020-11-26T11:00:00.000Z",1,230.31,2.32,18.68,29.33,4.77,1.63,3.39,0.78
"2020-11-26T12:00:00.000Z",1,230.31,1.98,16.28,32.19,3.58,1.55,3.47,0.79
"2020-11-26T13:00:00.000Z",1,230.31,1.29,16.62,33.62,3.34,1.5,3.5,0.77
"2020-11-26T14:00:00.000Z",1,233.65,0.48,19.36,30.76,3.58,1.61,3.64,0.87
"2020-11-26T15:00:00.000Z",1,236.99,0.02,20.74,27.54,3.61,1.8,3.86,1.01
"2020-11-26T16:00:00.000Z",1,243.66,0.02,20.56,24.68,3.04,2.05,4.22,1.22
"2020-11-26T17:00:00.000Z",1,250.34,0.03,20.74,21.46,2.33,2.56,5,1.41
"2020-11-26T18:00:00.000Z",1,267.03,0.04,22.96,17.7,2.18,3.34,6.08,1.63
"2020-11-26T19:00:00.000Z",1,280.38,0.05,24.68,14.84,2.09,4.14,6.98,1.93
"2020-11-26T20:00:00.000Z",1,287.06,0.04,22.62,14.48,1.94,4.25,6.92,2.41
"2020-11-26T21:00:00.000Z",1,280.38,0.04,18.17,15.74,2,3.9,6.33,3.36
"2020-11-26T22:00:00.000Z",1,273.71,0.03,14.05,17.35,2.09,3.4,5.54,4.69
"2020-11-26T23:00:00.000Z",1,263.69,0.02,11.14,18.77,1.83,2.89,4.81,5.83
"2020-11-27T00:00:00.000Z",1,257.02,0.01,9.34,19.13,1.54,2.53,4.34,6.59
"2020-11-27T01:00:00.000Z",1,253.68,0.01,8.4,18.95,1.4,2.45,4.26,7.22
"2020-11-27T02:00:00.000Z",1,253.68,0.01,7.88,18.42,1.31,2.57,4.38,7.73
"2020-11-27T03:00:00.000Z",1,253.68,0.01,7.54,17.35,1.25,2.82,4.57,8.04
"2020-11-27T04:00:00.000Z",1,253.68,0.01,7.11,16.45,1.18,3.1,4.74,7.98
"2020-11-27T05:00:00.000Z",1,250.34,0.02,6.6,16.63,1.25,3.23,4.63,8.87
"2020-11-27T06:00:00.000Z",1,250.34,0.05,6.77,16.27,1.76,3.28,4.51,10.39
"2020-11-27T07:00:00.000Z",1,257.02,0.12,8.65,13.95,2.62,3.37,4.59,12.03
"2020-11-27T08:00:00.000Z",1,267.03,0.16,10.97,11.27,3.43,3.62,4.95,12.92
"2020-11-27T09:00:00.000Z",1,273.71,0.41,11.82,9.84,3.87,4.03,5.48,12.54
"2020-11-27T10:00:00.000Z",1,277.04,2.12,11.48,9.92,4.71,4.58,6.15,10.01
"2020-11-27T11:00:00.000Z",1,283.72,4.02,11.65,10.1,5.25,5.16,6.94,9.5
"2020-11-27T12:00:00.000Z",1,290.39,4.92,11.82,9.84,4.71,5.5,7.49,10.64
"2020-11-27T13:00:00.000Z",1,293.73,4.36,13.02,8.32,4.11,5.67,7.86,10.89
"2020-11-27T14:00:00.000Z",1,297.07,2.82,15.42,5.01,3.73,5.7,7.98,11.02
"2020-11-27T15:00:00.000Z",1,297.07,1.34,17.14,2.08,3.46,5.35,7.47,10.51
"2020-11-27T16:00:00.000Z",1,290.39,1.13,16.45,1.99,3.19,4.77,6.54,8.99
"2020-11-27T17:00:00.000Z",1,280.38,1.06,15.77,2.3,2.89,4.43,5.89,8.23
"2020-11-27T18:00:00.000Z",1,280.38,0.91,15.59,2.48,2.68,4.42,5.7,8.49
"2020-11-27T19:00:00.000Z",1,277.04,0.64,14.57,3.22,2.56,4.42,5.61,8.61
"2020-11-27T20:00:00.000Z",1,273.71,0.32,13.02,5.28,2.47,4.29,5.37,9.12
"2020-11-27T21:00:00.000Z",1,270.37,0.14,11.48,8.49,2.33,4.14,5.18,9.12
