aspect,datamask,first_b30,first_b40,first_b50,first_b70,gain,last_b30,last_b40,last_b50,last_b70,loss,lossyear,slope,treecover2000
161.43775939941406,1.0,20.0,78.0,69.0,32.0,0.0,22.0,84.0,66.0,30.0,1.0,1.0,2.932600975036621,39.0
180.0,1.0,30.0,69.0,70.0,42.0,0.0,41.0,61.0,75.0,60.0,1.0,1.0,0.9274099469184875,16.0
166.95986938476562,1.0,19.0,76.0,65.0,30.0,0.0,28.0,80.0,86.0,48.0,1.0,1.0,12.189260482788086,52.0
341.406005859375,1.0,21.0,67.0,65.0,33.0,0.0,24.0,85.0,69.0,32.0,1.0,1.0,2.9331467151641846,45.0
150.8460235595703,1.0,14.0,80.0,77.0,34.0,1.0,25.0,81.0,77.0,36.0,1.0,1.0,9.471109390258789,54.0
165.86431884765625,1.0,17.0,77.0,73.0,34.0,0.0,27.0,78.0,85.0,49.0,1.0,1.0,3.8201382160186768,48.0
191.35409545898438,1.0,18.0,88.0,82.0,37.0,1.0,24.0,84.0,73.0,33.0,1.0,1.0,4.71932315826416,44.0
270.0,1.0,22.0,77.0,73.0,35.0,0.0,30.0,83.0,80.0,43.0,1.0,1.0,0.9360616207122803,29.0
261.3340148925781,1.0,15.0,74.0,63.0,30.0,0.0,23.0,75.0,69.0,37.0,1.0,1.0,12.126832962036133,56.0
143.63568115234375,1.0,18.0,87.0,72.0,31.0,0.0,25.0,88.0,77.0,35.0,1.0,1.0,16.779996871948242,49.0
134.71957397460938,1.0,32.0,73.0,76.0,41.0,0.0,37.0,66.0,89.0,59.0,1.0,1.0,1.3179051876068115,16.0
189.50279235839844,1.0,17.0,100.0,82.0,35.0,0.0,27.0,86.0,85.0,43.0,1.0,1.0,5.62423849105835,47.0
314.86798095703125,1.0,9.0,76.0,63.0,27.0,0.0,23.0,88.0,78.0,37.0,1.0,1.0,5.2441205978393555,79.0
9.504216194152832,1.0,16.0,88.0,68.0,29.0,0.0,22.0,92.0,72.0,34.0,1.0,1.0,5.624261856079102,54.0
45.121341705322266,1.0,11.0,67.0,56.0,23.0,0.0,22.0,87.0,81.0,38.0,1.0,1.0,2.6270713806152344,90.0
